
Test Phase Average Duration: 0:08:34 (HH:MM:SS)

Class report: 
              precision    recall  f1-score       support
alureon        0.315773  0.494335  0.382586    865.000000
banjori        1.000000  1.000000  1.000000    865.000000
bedep          0.556525  0.663815  0.599187    865.000000
ccleaner       0.999307  0.999769  0.999538    865.000000
chinad         0.962406  0.952601  0.957160    865.000000
corebot        1.000000  0.993988  0.996985    865.000000
cryptolocker   0.455632  0.527399  0.484800    865.000000
dircrypt       0.332386  0.268902  0.288474    865.000000
dyre           0.999307  1.000000  0.999653    865.000000
fobber_v1      0.818779  0.981503  0.892709    865.000000
fobber_v2      0.332181  0.423584  0.365184    865.000000
gozi_gpl       0.959536  0.963699  0.961456    865.000000
gozi_luther    0.903106  0.896647  0.898235    865.000000
gozi_nasa      0.806951  0.778035  0.790853    865.000000
gozi_rfc4343   0.738353  0.825434  0.778366    865.000000
kraken_v1      0.732137  0.771792  0.746005    865.000000
kraken_v2      0.572212  0.441387  0.494987    865.000000
locky          0.569615  0.476301  0.517996    865.000000
matsnu         0.947633  0.947052  0.946984    865.000000
murofet_v1     0.988972  0.992370  0.990646    865.000000
murofet_v2     0.848416  0.970636  0.905265    865.000000
murofet_v3     0.999538  0.996301  0.997915    865.000000
necurs         0.761671  0.466821  0.566651    865.000000
nymaim         0.937560  0.885318  0.910683    865.000000
padcrypt       0.989885  0.993757  0.991809    865.000000
pizd           0.848903  0.888555  0.867768    865.000000
proslikefan    0.580154  0.521387  0.547345    865.000000
pushdo         0.916215  0.959075  0.937112    865.000000
pykspa         0.315205  0.252948  0.275056    865.000000
pykspa_noise   0.307501  0.266127  0.279030    865.000000
qadars         0.932179  0.906127  0.917820    865.000000
qakbot         0.747451  0.434220  0.543755    865.000000
ramdo          0.977023  0.998844  0.987791    865.000000
ramnit         0.300815  0.222197  0.241816    865.000000
ranbyus_v1     0.733402  0.756301  0.744141    865.000000
ranbyus_v2     0.771763  0.714913  0.741154    865.000000
rovnix         0.939840  0.911676  0.925114    865.000000
shiotob        0.884286  0.791445  0.832162    865.000000
simda          0.887463  0.950058  0.917535    865.000000
sisron         0.998616  1.000000  0.999307    865.000000
suppobox_1     0.894680  0.889711  0.891480    865.000000
suppobox_2     0.955238  0.969711  0.962253    865.000000
suppobox_3     0.985033  0.998382  0.991640    865.000000
symmi          0.994028  1.000000  0.997004    865.000000
tempedreve     0.503429  0.620116  0.549178    865.000000
tinba          0.565694  0.557688  0.543081    865.000000
vawtrak_v1     0.991521  1.000000  0.995742    865.000000
vawtrak_v2     0.952926  0.964855  0.958831    865.000000
vawtrak_v3     0.889405  0.978035  0.931372    865.000000
zeus-newgoz    1.000000  0.998382  0.999190    865.000000
legit          0.813295  0.741272  0.774625    865.000000
accuracy       0.784382  0.784382  0.784382      0.784382
macro avg      0.788509  0.784382  0.780695  44115.000000
weighted avg   0.788509  0.784382  0.780695  44115.000000
Confusion Matrix: 
              alureon  banjori  bedep  ccleaner  chinad  corebot  \
alureon          2138        0      0         0       0        0   
banjori             0     4325      0         0       0        0   
bedep               1        0   2871         0       0        0   
ccleaner            0        0      0      4324       0        0   
chinad              0        0     18         1    4120        0   
corebot             0        0      0         0       0     4299   
cryptolocker        0        0    143         0       0        0   
dircrypt          529        0    947         0       0        0   
dyre                0        0      0         0       0        0   
fobber_v1           0        0      0         0       0        0   
fobber_v2        2162        0      0         0       0        0   
gozi_gpl            0        0      0         0       0        0   
gozi_luther         0        0      0         0       0        0   
gozi_nasa           0        0      0         0       0        0   
gozi_rfc4343        0        0      5         0       0        0   
kraken_v1           0        0      0         0       0        0   
kraken_v2         322        0      5         0       0        0   
locky               0        0      0         0       0        0   
matsnu              0        0      0         0       0        0   
murofet_v1          0        0      0         0       0        0   
murofet_v2          0        0      0         0       0        0   
murofet_v3          0        0      0         0       0        0   
necurs             11        0      8         0       0        0   
nymaim              1        0      0         0       0        0   
padcrypt            0        0      2         0       0        0   
pizd                0        0      0         0       0        0   
proslikefan       135        0      0         0       0        0   
pushdo             15        0      2         0       0        0   
pykspa             65        0      0         0       0        0   
pykspa_noise       73        0      0         0       0        0   
qadars              0        0     15         0       0        0   
qakbot             66        0    120         0       0        0   
ramdo               0        0      0         0       0        0   
ramnit            617        0    665         0       0        0   
ranbyus_v1          0        0    148         0       0        0   
ranbyus_v2          0        0    166         0       0        0   
rovnix              0        0      0         0       2        0   
shiotob            40        0    124         2     161        0   
simda               0        0      0         0       0        0   
sisron              0        0      0         0       0        0   
suppobox_1          0        0      0         0       0        0   
suppobox_2          0        0      0         0       0        0   
suppobox_3          0        0      0         0       0        0   
symmi               0        0      0         0       0        0   
tempedreve        567        0      0         0       0        0   
tinba               2        0     37         0       0        0   
vawtrak_v1          0        0      0         0       0        0   
vawtrak_v2          1        0      0         0       0        0   
vawtrak_v3          0        0      0         0       0        0   
zeus-newgoz         0        0      0         0       1        0   
legit              17        0      8         0       0        0   

              cryptolocker  dircrypt  dyre  fobber_v1  fobber_v2  gozi_gpl  \
alureon                  0        10     0          0       1846         0   
banjori                  0         0     0          0          0         0   
bedep                   82       687     0          0          0         0   
ccleaner                 0         0     0          0          0         0   
chinad                   2         1     0         12          0         0   
corebot                  0         0     0          6          0         0   
cryptolocker          2281        97     0         95          0        14   
dircrypt                56      1163     0          0        402         0   
dyre                     0         0  4325          0          0         0   
fobber_v1                2         0     0       4245          0         0   
fobber_v2                0        10     0          0       1832         0   
gozi_gpl                 4         0     0          0          0      4168   
gozi_luther              0         2     0          0          0         0   
gozi_nasa                1         3     0          0          0         0   
gozi_rfc4343             0         6     0          0          0         0   
kraken_v1                5         0     0          0          0         0   
kraken_v2               14        79     0          0        261         0   
locky                  472         0     0          0          0         0   
matsnu                   0         0     0          0          0         0   
murofet_v1               0         0     0          0          0         2   
murofet_v2              94         0     0          0          0         0   
murofet_v3               0         0     0          0          0         0   
necurs                  90        23     0         55          5         3   
nymaim                   0         0     0          0          0        22   
