,precision,recall,f1-score,support
alureon,0.2874536791953414,0.5826180257510729,0.3849698688408365,932.0
banjori,1.0,1.0,1.0,932.0
bedep,0.5463609172482552,0.5879828326180258,0.5664082687338501,932.0
ccleaner,0.98,0.9989270386266095,0.9893730074388947,932.0
chinad,0.9178228388473852,0.9227467811158798,0.9202782236490102,932.0
corebot,0.9989189189189189,0.9914163090128756,0.9951534733441034,932.0
cryptolocker,0.49019607843137253,0.29506437768240346,0.36838580040187546,932.0
dircrypt,0.25263157894736843,0.38626609442060084,0.30547305897327115,932.0
dyre,1.0,1.0,1.0,932.0
fobber_v1,0.7702589807852965,0.9892703862660944,0.8661343353687176,932.0
fobber_v2,0.2795138888888889,0.34549356223175964,0.309021113243762,932.0
gozi_gpl,0.9452631578947368,0.9635193133047211,0.9543039319872476,932.0
gozi_luther,0.9676898222940227,0.6427038626609443,0.7724049000644746,932.0
gozi_nasa,0.6267281105990783,0.8755364806866953,0.7305282005371532,932.0
gozi_rfc4343,0.6908548707753479,0.7457081545064378,0.717234262125903,932.0
kraken_v1,0.8631415241057543,0.5954935622317596,0.7047619047619047,932.0
kraken_v2,0.48178506375227687,0.5675965665236051,0.5211822660098522,932.0
locky,0.3024390243902439,0.33261802575107297,0.3168114460909555,932.0
matsnu,0.9627959413754228,0.9163090128755365,0.9389774601429357,932.0
murofet_v1,0.9819148936170212,0.990343347639485,0.986111111111111,932.0
murofet_v2,0.7907771135781383,0.9935622317596566,0.8806466951973371,932.0
murofet_v3,1.0,0.9957081545064378,0.9978494623655914,932.0
necurs,0.5111561866125761,0.2703862660944206,0.3536842105263159,932.0
nymaim,0.9102132435465768,0.8701716738197425,0.8897421832144815,932.0
padcrypt,0.9870967741935484,0.9849785407725322,0.9860365198711063,932.0
pizd,0.704521556256572,0.7188841201716738,0.7116303770578865,932.0
proslikefan,0.4898336414048059,0.5686695278969958,0.5263157894736843,932.0
pushdo,0.9180509413067552,0.8894849785407726,0.9035422343324251,932.0
pykspa,0.29180064308681675,0.3894849785407725,0.3336397058823529,932.0
pykspa_noise,0.3068181818181818,0.05793991416309013,0.09747292418772563,932.0
qadars,0.9061371841155235,0.8079399141630901,0.854225751559841,932.0
qakbot,0.6743362831858407,0.40879828326180256,0.5090180360721442,932.0
ramdo,0.9615784008307373,0.9935622317596566,0.9773087071240106,932.0
ramnit,0.21746880570409982,0.13090128755364808,0.16342933690555927,932.0
ranbyus_v1,0.6203155818540433,0.674892703862661,0.6464542651593012,932.0
ranbyus_v2,0.7209580838323353,0.6459227467811158,0.681380871533673,932.0
rovnix,0.9638273045507585,0.8862660944206009,0.9234209055338178,932.0
shiotob,0.7398286937901499,0.7414163090128756,0.7406216505894964,932.0
simda,0.824773413897281,0.878755364806867,0.850909090909091,932.0
sisron,0.9988962472406181,0.971030042918455,0.984766050054407,932.0
suppobox_1,0.7186274509803922,0.7864806866952789,0.7510245901639343,932.0
suppobox_2,0.9432314410480349,0.927038626609442,0.935064935064935,932.0
suppobox_3,0.9978331527627302,0.9881974248927039,0.9929919137466308,932.0
symmi,0.9957081545064378,0.9957081545064378,0.9957081545064378,932.0
tempedreve,0.4380952380952381,0.3948497854077253,0.4153498871331828,932.0
tinba,0.45603576751117736,0.3283261802575107,0.38178415470991894,932.0
vawtrak_v1,0.9925452609158679,1.0,0.9962586851950829,932.0
vawtrak_v2,0.9314285714285714,0.6995708154506438,0.7990196078431373,932.0
vawtrak_v3,0.7185929648241206,0.9206008583690987,0.8071495766698025,932.0
zeus-newgoz,1.0,0.9924892703862661,0.996230479267636,932.0
legit,0.7600459242250287,0.7103004291845494,0.7343316694398225,932.0
accuracy,0.7323908104014137,0.7323908104014137,0.7323908104014137,0.7323908104014137
macro avg,0.741888264650386,0.7323908104014137,0.7287160991003262,47532.0
weighted avg,0.7418882646503862,0.7323908104014137,0.728716099100326,47532.0
