
Test Phase Average Duration: 0:08:54 (HH:MM:SS)

Class report: 
              precision    recall  f1-score       support
alureon        0.277071  0.544513  0.365091    966.000000
banjori        1.000000  1.000000  1.000000    966.000000
bedep          0.468964  0.632505  0.535579    966.000000
ccleaner       0.994026  0.998344  0.996179    966.000000
chinad         0.862731  0.908489  0.884620    966.000000
corebot        0.997271  0.981573  0.989354    966.000000
cryptolocker   0.329997  0.171636  0.216709    966.000000
dircrypt       0.238708  0.160041  0.182674    966.000000
dyre           0.998966  0.999793  0.999379    966.000000
fobber_v1      0.712294  0.958178  0.816523    966.000000
fobber_v2      0.258008  0.344099  0.289250    966.000000
gozi_gpl       0.903773  0.950518  0.926147    966.000000
gozi_luther    0.808437  0.804969  0.798914    966.000000
gozi_nasa      0.651468  0.666874  0.651194    966.000000
gozi_rfc4343   0.598054  0.643478  0.613956    966.000000
kraken_v1      0.675822  0.761284  0.709917    966.000000
kraken_v2      0.362581  0.217184  0.266838    966.000000
locky          0.280795  0.130642  0.168896    966.000000
matsnu         0.923527  0.928364  0.925641    966.000000
murofet_v1     0.928154  0.980538  0.953155    966.000000
murofet_v2     0.731728  0.983230  0.838805    966.000000
murofet_v3     0.999792  0.987992  0.993845    966.000000
necurs         0.243305  0.128986  0.161825    966.000000
nymaim         0.893177  0.835611  0.862411    966.000000
padcrypt       0.953670  0.976190  0.964488    966.000000
pizd           0.657085  0.602899  0.625462    966.000000
proslikefan    0.398931  0.482195  0.428720    966.000000
pushdo         0.765677  0.870393  0.809460    966.000000
pykspa         0.246716  0.208696  0.191258    966.000000
pykspa_noise   0.287247  0.200414  0.223203    966.000000
qadars         0.875311  0.733954  0.794061    966.000000
qakbot         0.576895  0.253623  0.330482    966.000000
ramdo          0.910266  0.990890  0.948746    966.000000
ramnit         0.210015  0.193996  0.187478    966.000000
ranbyus_v1     0.405585  0.432091  0.417223    966.000000
ranbyus_v2     0.415386  0.640994  0.493387    966.000000
rovnix         0.935269  0.769565  0.842774    966.000000
shiotob        0.707695  0.607867  0.650992    966.000000
simda          0.707700  0.733540  0.719066    966.000000
sisron         0.997500  0.988613  0.992995    966.000000
suppobox_1     0.667756  0.702899  0.683272    966.000000
suppobox_2     0.793369  0.914700  0.849581    966.000000
suppobox_3     0.954722  0.990269  0.972009    966.000000
symmi          0.989133  0.996687  0.992884    966.000000
tempedreve     0.321219  0.316563  0.302385    966.000000
tinba          0.298885  0.121325  0.154160    966.000000
vawtrak_v1     0.980133  0.996894  0.988416    966.000000
vawtrak_v2     0.689119  0.724845  0.696962    966.000000
vawtrak_v3     0.631989  0.781366  0.687564    966.000000
zeus-newgoz    0.997510  0.985507  0.991459    966.000000
legit          0.708175  0.593996  0.644440    966.000000
accuracy       0.677055  0.677055  0.677055      0.677055
macro avg      0.671012  0.677055  0.661369  49266.000000
weighted avg   0.671012  0.677055  0.661369  49266.000000
Confusion Matrix: 
              alureon  banjori  bedep  ccleaner  chinad  corebot  \
alureon          2630        0      1         0       0        0   
banjori             0     4830      0         0       0        0   
bedep              47        0   3055         0       1        0   
ccleaner            0        0      0      4822       0        0   
chinad              0        0     26         5    4388        3   
corebot             0        0      0         0       2     4741   
cryptolocker       16        0    178         0       0        0   
dircrypt          714        0   1287         0       0        0   
dyre                0        0      0         0       0        0   
fobber_v1           0        0      0         0       0        0   
fobber_v2        2583        0      0         0       0        0   
gozi_gpl            0        0      0         0       0        0   
gozi_luther         0        0      1         0       0        0   
gozi_nasa           1        0      3         0       0        0   
gozi_rfc4343        1        0     12         0       0        0   
kraken_v1           0        0      5         0       0        0   
kraken_v2         494        0     30         0       0        0   
locky               0        0      0         0       0        0   
matsnu              0        0      0         0       0        0   
murofet_v1          0        0      0         0       0        0   
murofet_v2          0        0      0         0       0        0   
murofet_v3          0        0      0         0       0        0   
necurs             23        0     17         0       0        0   
nymaim              0        0      0         0       0        0   
padcrypt            0        0     10         0       0        0   
pizd                0        0      0         0       0        0   
proslikefan       199        0      0         0       0        0   
pushdo            108        0      4         0       0        0   
pykspa            205        0      2         0       0        0   
pykspa_noise      200        0      3         0       0        0   
qadars              2        0     22        14      96        0   
qakbot             98        0    205         0       1        0   
ramdo               0        0      0         0       0        0   
ramnit            873        0    971         0       0        0   
ranbyus_v1          0        0    155         0       0        0   
ranbyus_v2          0        0    260         0       0        0   
rovnix              0        0      0         0       1        0   
shiotob            84        0    216         6     588        0   
simda             315        0      0         0       0        0   
sisron              3        0      5         0       0        0   
suppobox_1          0        0      0         0       0        0   
suppobox_2          0        0      0         0       0        0   
suppobox_3          0        0      0         0       0        0   
symmi               0        0      0         0       0        0   
tempedreve        651        0      0         0       0        0   
tinba             187        0    121         0       0        0   
vawtrak_v1          0        0      0         0       0        0   
vawtrak_v2         17        0      0         0       0        0   
vawtrak_v3          2        0      0         0       0        0   
zeus-newgoz         0        0      5         0      17       10   
legit              36        0      2         4       0        0   

              cryptolocker  dircrypt  dyre  fobber_v1  fobber_v2  gozi_gpl  \
alureon                  0        31     0          0       1600         0   
banjori                  0         0     0          0          0         0   
bedep                    2       540     0          0         36         0   
ccleaner                 0         0     0          0          0         0   
chinad                  11         0     0         21          0         0   
corebot                  0         0     0         34          0         0   
cryptolocker           829       126     0        327         15        16   
dircrypt                 5       773     0          0        539         0   
dyre                     0         0  4829          0          0         0   
fobber_v1               13         0     0       4628          0         0   
fobber_v2                0        34     0          0       1662         0   
gozi_gpl                 1         0     0          0          0      4591   
gozi_luther              0         6     0          0          0         0   
gozi_nasa                0        12     0          0          1         0   
gozi_rfc4343             0         5     0          0          0         0   
kraken_v1               10        14     0          0          0         0   
kraken_v2               17        63     0          0        403         1   
locky                  276         0     0          1          0         5   
matsnu                   0         0     0          0          0         0   
murofet_v1               0         0     0          0          0        11   
murofet_v2              48         0     0          0          0         2   
murofet_v3               0         0     0          0          0         0   
necurs                  93        16     0         67         15         6   
nymaim                   0         0     0          0          0        75   
padcrypt                 1         6     0          7          0         0   
pizd                     0         0     0          0          0         0   
proslikefan             14         0     0          0        173         0   
pushdo                   0        44     0          0         38         0   
pykspa                 181        17     0          9        131         0   
pykspa_noise           147        19     0          8        144         0   
qadars                  21         9     0          1          4         0   
qakbot                 248       168     0        439         56         2   
ramdo                    3         0     0          0          0         1   
ramnit                   3       598     0          0        647         0   
ranbyus_v1             255        87     0        291          0         6   
ranbyus_v2              49       116     0        557          0         9   
rovnix                   0         0     0          2          0       345   
shiotob                 21        40     0         64         63         0   
simda                    1         0     0          0        213         2   
sisron                   2         3     0          0          2         0   
suppobox_1               0         0     0          9          0         0   
suppobox_2               0         0     0          0          0         0   
suppobox_3               0         0     0          4          0         0   
symmi                    0         0     0          7          0         0   
tempedreve              20         3     0          0        445         0   
tinba                  272       335     0         23        173         4   
vawtrak_v1               0         0     0          0          0         0   
vawtrak_v2               0         2     0          0         30         0   
vawtrak_v3               0         0     0          0          1         0   
zeus-newgoz              0         1     5          1          0         0   
legit                    0         2     0          3         18         9   

              gozi_luther  gozi_nasa  gozi_rfc4343  kraken_v1  kraken_v2  \
alureon                 0          0             0         11         89   
banjori                 0          0             0          0          0   
bedep                  14          3            11         16         14   
ccleaner                0          0             0          0          0   
chinad                  0          0             0          0          0   
corebot                 0          0             0          0          0   
cryptolocker            4          0             0         56         28   
dircrypt               27          4             3         16         36   
dyre                    0          0             0          0          0   
fobber_v1               0          0             0          0          0   
fobber_v2               0          0             0          9         75   
gozi_gpl                0          0             0          0          0   
gozi_luther          3888        339           455          1          0   
gozi_nasa             303       3221          1104          0          0   
gozi_rfc4343          485        978          3108          3          1   
kraken_v1               1          4             3       3677        940   
kraken_v2               1          0             0       1423       1049   
locky                   0          0             0         28         46   
matsnu                 17        132            97          0          0   
murofet_v1              0          0             0          0          0   
murofet_v2              0          0             0          0          0   
murofet_v3              0          0             0          0          0   
necurs                  0          0             1          9         31   
nymaim                  8         38            30          0          2   
padcrypt                8          0             7          2          0   
pizd                    0          0             0          0          0   
proslikefan             0          0             0         14         65   
pushdo                 35         17            11          0          7   
pykspa                  2          1             0         36         66   
pykspa_noise            2          0             0         23         70   
qadars                  0          3             0         15          9   
qakbot                  0          1             0         27         54   
ramdo                   2          0             0          9          0   
ramnit                 21         11             6         21         63   
ranbyus_v1              1          1             0         44         14   
ranbyus_v2              8          0             4          3          0   
rovnix                 15        211           412          0          0   
shiotob                 0          1             0          1          1   
simda                   0          0             0          1         12   
sisron                  0          0             0          0          0   
suppobox_1              0          0             0          0          0   
suppobox_2              0          0             0          0          0   
suppobox_3              0          0             0          0          0   
symmi                   0          0             0          0          0   
tempedreve              0          0             0         23         74   
tinba                   2          0             3         26         63   
vawtrak_v1              0          0             0          0          0   
vawtrak_v2              1          1             1          0          0   
vawtrak_v3              3          5             1          0          0   
zeus-newgoz             0          0             0          0          0   
legit                  31         78            35          8          2   

              locky  matsnu  murofet_v1  murofet_v2  murofet_v3  necurs  \
alureon           0       0           0           0           0       0   
banjori           0       0           0           0           0       0   
bedep             0       0           0           0           0       0   
ccleaner          0       0           0           0           0       0   
chinad            1       0           0          22           0       6   
corebot           0       0           0           0           0       0   
