
Test Phase Duration: 0:08:53 (HH:MM:SS)

Class report: 
              precision    recall  f1-score   support

     alureon     0.2649    0.5445    0.3564       966
     banjori     1.0000    1.0000    1.0000       966
       bedep     0.5344    0.5714    0.5523       966
    ccleaner     0.9949    1.0000    0.9974       966
      chinad     0.8775    0.9048    0.8909       966
     corebot     0.9926    0.9752    0.9838       966
cryptolocker     0.3106    0.1366    0.1898       966
    dircrypt     0.2782    0.2888    0.2834       966
        dyre     1.0000    1.0000    1.0000       966
   fobber_v1     0.7285    0.9669    0.8310       966
   fobber_v2     0.2582    0.2919    0.2741       966
    gozi_gpl     0.8876    0.9482    0.9169       966
 gozi_luther     0.7742    0.9193    0.8405       966
   gozi_nasa     0.7037    0.7081    0.7059       966
gozi_rfc4343     0.6468    0.6066    0.6261       966
   kraken_v1     0.6277    0.8830    0.7338       966
   kraken_v2     0.3602    0.1573    0.2190       966
       locky     0.2519    0.0342    0.0602       966
      matsnu     0.9469    0.9234    0.9350       966
  murofet_v1     0.9895    0.9752    0.9823       966
  murofet_v2     0.7177    0.9896    0.8320       966
  murofet_v3     1.0000    0.9959    0.9979       966
      necurs     0.2424    0.1398    0.1773       966
      nymaim     0.8990    0.8478    0.8727       966
    padcrypt     0.9742    0.9369    0.9551       966
        pizd     0.6833    0.5538    0.6118       966
 proslikefan     0.3132    0.5518    0.3996       966
      pushdo     0.6443    0.9431    0.7655       966
      pykspa     0.2533    0.2598    0.2565       966
pykspa_noise     0.2327    0.1770    0.2011       966
      qadars     0.7640    0.8344    0.7976       966
      qakbot     0.4892    0.2578    0.3376       966
       ramdo     0.9301    0.9783    0.9536       966
      ramnit     0.2133    0.0466    0.0765       966
  ranbyus_v1     0.4409    0.4172    0.4287       966
  ranbyus_v2     0.4464    0.6159    0.5176       966
      rovnix     0.9711    0.6957    0.8106       966
     shiotob     0.7191    0.4876    0.5811       966
       simda     0.7311    0.7992    0.7636       966
      sisron     0.9949    1.0000    0.9974       966
  suppobox_1     0.6605    0.7433    0.6995       966
  suppobox_2     0.7864    0.9224    0.8490       966
  suppobox_3     0.9674    0.9824    0.9748       966
       symmi     0.9817    1.0000    0.9908       966
  tempedreve     0.2767    0.2039    0.2348       966
       tinba     0.2317    0.2526    0.2417       966
  vawtrak_v1     0.9846    0.9959    0.9902       966
  vawtrak_v2     0.6312    0.7122    0.6693       966
  vawtrak_v3     0.5998    0.7402    0.6627       966
 zeus-newgoz     1.0000    0.9814    0.9906       966
       legit     0.6808    0.5983    0.6369       966

    accuracy                         0.6764     49266
   macro avg     0.6645    0.6764    0.6599     49266
weighted avg     0.6645    0.6764    0.6599     49266

F1 Score, Precision and Recall: 
              Macro     Micro
F1 Score   0.659857  0.676389
Precision  0.664490  0.676389
Recall     0.676389  0.676389

Overall accuracy = 0.6763893963382455

Confusion matrix:
              alureon  banjori  bedep  ccleaner  chinad  corebot  \
alureon           526        0      0         0       0        0   
banjori             0      966      0         0       0        0   
bedep              26        0    552         0       1        0   
ccleaner            0        0      0       966       0        0   
chinad              0        0      6         1     874        0   
corebot             0        0      0         0       0      942   
cryptolocker        8        0     18         0       0        0   
dircrypt          171        0    187         0       0        0   
dyre                0        0      0         0       0        0   
fobber_v1           0        0      0         0       0        0   
fobber_v2         509        0      0         0       0        0   
gozi_gpl            0        0      0         0       0        0   
gozi_luther         0        0      0         0       0        0   
gozi_nasa           0        0      2         0       0        0   
gozi_rfc4343        0        0      3         0       0        0   
kraken_v1           0        0      0         0       0        0   
kraken_v2         120        0      4         0       0        0   
locky               0        0      0         0       0        0   
matsnu              0        0      0         0       0        0   
murofet_v1          0        0      0         0       0        0   
murofet_v2          0        0      0         0       0        0   
murofet_v3          0        0      0         0       0        0   
necurs              4        0      2         0       0        0   
nymaim              0        0      0         0       0        0   
padcrypt            0        0      6         0       0        0   
pizd                0        0      0         0       0        0   
proslikefan        53        0      0         0       0        0   
pushdo              1        0      0         0       0        0   
pykspa             40        0      0         0       0        0   
pykspa_noise       42        0      1         0       0        0   
qadars              1        0      3         2       1        0   
qakbot             21        0     18         0       1        0   
ramdo               0        0      0         0       0        0   
ramnit            188        0    135         0       0        0   
ranbyus_v1          0        0     21         0       0        0   
ranbyus_v2          0        0     25         0       0        0   
rovnix              0        0      0         0       1        0   
shiotob            21        0     34         1     111        0   
simda              59        0      0         0       0        0   
sisron              0        0      0         0       0        0   
suppobox_1          0        0      0         0       0        0   
suppobox_2          0        0      0         0       0        0   
suppobox_3          0        0      0         0       0        0   
symmi               0        0      0         0       0        0   
tempedreve        118        0      0         0       0        0   
tinba              71        0     15         0       0        0   
vawtrak_v1          0        0      0         0       0        0   
vawtrak_v2          1        0      0         0       0        0   
vawtrak_v3          0        0      0         0       0        0   
zeus-newgoz         0        0      1         0       7        7   
legit               6        0      0         1       0        0   

              cryptolocker  dircrypt  dyre  fobber_v1  fobber_v2  gozi_gpl  \
alureon                  0         5     0          0        249         0   
banjori                  0         0     0          0          0         0   
bedep                    0       183     0          0         22         0   
ccleaner                 0         0     0          0          0         0   
chinad                   2         0     0          3          0         0   
corebot                  0         0     0         10          0         0   
cryptolocker           132        41     0         46         11         2   
dircrypt                 0       279     0          0        105         0   
dyre                     0         0   966          0          0         0   
fobber_v1                0         0     0        934          0         0   
fobber_v2                0         1     0          0        282         0   
gozi_gpl                 1         0     0          0          0       916   
gozi_luther              0         2     0          0          0         0   
gozi_nasa                0         7     0          0          0         0   
gozi_rfc4343             0         0     0          0          0         0   
kraken_v1                1         5     0          0          0         0   
kraken_v2                5         6     0          0         66         0   
locky                   95         0     0          0          0         1   
matsnu                   0         0     0          0          0         0   
murofet_v1               0         0     0          0          0         4   
murofet_v2               6         0     0          0          0         0   
murofet_v3               0         0     0          0          0         0   
necurs                  23         7     0         14          2         0   
nymaim                   0         0     0          0          0         4   
padcrypt                 1         0     0          1          0         0   
pizd                     0         0     0          0          0         0   
proslikefan              1         0     0          0         20         0   
pushdo                   0         0     0          0          2         0   
pykspa                   6         0     0          0         25         0   
pykspa_noise             3         2     0          0         22         0   
qadars                   1         1     0          0          2         0   
qakbot                  35        69     0        112          7         0   
ramdo                    2         0     0          0          0         0   
ramnit                   0       237     0          0         99         0   
ranbyus_v1              46        34     0         39          0         0   
ranbyus_v2               8        58     0        113          0         0   
rovnix                   0         0     0          0          0       105   
shiotob                  0         3     0          8         11         0   
simda                    0         0     0          0         29         0   
sisron                   0         0     0          0          0         0   
suppobox_1               0         0     0          0          0         0   
suppobox_2               0         0     0          0          0         0   
suppobox_3               0         0     0          0          0         0   
symmi                    0         0     0          0          0         0   
tempedreve               1         0     0          0         78         0   
tinba                   56        63     0          1         58         0   
vawtrak_v1               0         0     0          0          0         0   
vawtrak_v2               0         0     0          0          1         0   
vawtrak_v3               0         0     0          0          0         0   
zeus-newgoz              0         0     0          1          0         0   
legit                    0         0     0          0          1         0   

              gozi_luther  gozi_nasa  gozi_rfc4343  kraken_v1  kraken_v2  \
alureon                 0          0             0          6         33   
banjori                 0          0             0          0          0   
bedep                   1          0             1          3          5   
ccleaner                0          0             0          0          0   
chinad                  0          0             0          0          0   
corebot                 0          0             0          0          0   
cryptolocker            1          0             0         13          4   
dircrypt                3          0             0          7         13   
dyre                    0          0             0          0          0   
fobber_v1               0          0             0          0          0   
fobber_v2               0          0             0          8         34   
