
Test Phase Duration: 0:09:22 (HH:MM:SS)

Class report: 
              precision    recall  f1-score   support

     alureon     0.2689    0.6190    0.3749       966
     banjori     1.0000    1.0000    1.0000       966
       bedep     0.4780    0.6190    0.5395       966
    ccleaner     0.9948    0.9979    0.9964       966
      chinad     0.9107    0.8975    0.9041       966
     corebot     0.9989    0.9793    0.9890       966
cryptolocker     0.3225    0.0921    0.1433       966
    dircrypt     0.1759    0.0756    0.1057       966
        dyre     0.9990    1.0000    0.9995       966
   fobber_v1     0.6962    0.9917    0.8181       966
   fobber_v2     0.2378    0.3064    0.2678       966
    gozi_gpl     0.9159    0.9689    0.9416       966
 gozi_luther     0.7077    0.8571    0.7753       966
   gozi_nasa     0.7271    0.5435    0.6220       966
gozi_rfc4343     0.5544    0.6491    0.5980       966
   kraken_v1     0.7090    0.6356    0.6703       966
   kraken_v2     0.3842    0.2764    0.3215       966
       locky     0.2334    0.1677    0.1952       966
      matsnu     0.9339    0.9513    0.9426       966
  murofet_v1     0.9608    0.9886    0.9745       966
  murofet_v2     0.7544    0.9855    0.8546       966
  murofet_v3     1.0000    0.9793    0.9895       966
      necurs     0.2448    0.0973    0.1393       966
      nymaim     0.9309    0.8364    0.8811       966
    padcrypt     0.9633    0.9772    0.9702       966
        pizd     0.6845    0.5569    0.6142       966
 proslikefan     0.4026    0.5373    0.4603       966
      pushdo     0.8450    0.8126    0.8285       966
      pykspa     0.2569    0.4358    0.3232       966
pykspa_noise     0.2647    0.0466    0.0792       966
      qadars     0.8552    0.7277    0.7864       966
      qakbot     0.4641    0.4410    0.4522       966
       ramdo     0.8871    0.9928    0.9370       966
      ramnit     0.1696    0.1180    0.1392       966
  ranbyus_v1     0.3636    0.3478    0.3556       966
  ranbyus_v2     0.3216    0.7453    0.4493       966
      rovnix     0.9452    0.8033    0.8685       966
     shiotob     0.6827    0.6905    0.6866       966
       simda     0.7670    0.7257    0.7457       966
      sisron     0.9969    0.9959    0.9964       966
  suppobox_1     0.6589    0.7360    0.6954       966
  suppobox_2     0.8039    0.9420    0.8675       966
  suppobox_3     0.9816    0.9948    0.9882       966
       symmi     0.9917    0.9948    0.9933       966
  tempedreve     0.3265    0.1967    0.2455       966
       tinba     0.2470    0.0424    0.0724       966
  vawtrak_v1     0.9887    0.9928    0.9907       966
  vawtrak_v2     0.6907    0.8230    0.7511       966
  vawtrak_v3     0.7541    0.8126    0.7823       966
 zeus-newgoz     0.9897    0.9907    0.9902       966
       legit     0.7301    0.5880    0.6514       966

    accuracy                         0.6781     49266
   macro avg     0.6700    0.6781    0.6620     49266
weighted avg     0.6700    0.6781    0.6620     49266

F1 Score, Precision and Recall: 
              Macro     Micro
F1 Score   0.662038  0.678115
Precision  0.670037  0.678115
Recall     0.678115  0.678115

Overall accuracy = 0.6781147241505298

Confusion matrix:
              alureon  banjori  bedep  ccleaner  chinad  corebot  \
alureon           598        0      0         0       0        0   
banjori             0      966      0         0       0        0   
bedep              10        0    598         0       0        0   
ccleaner            0        0      0       964       0        0   
chinad              0        0      4         1     867        0   
corebot             0        0      0         0       0      946   
cryptolocker        5        0     41         0       0        0   
dircrypt          173        0    217         0       0        0   
dyre                0        0      0         0       0        0   
fobber_v1           0        0      0         0       0        0   
fobber_v2         591        0      0         0       0        0   
gozi_gpl            0        0      0         0       0        0   
gozi_luther         0        0      0         0       0        0   
gozi_nasa           0        0      0         0       0        0   
gozi_rfc4343        0        0      1         0       0        0   
kraken_v1           0        0      3         0       0        0   
kraken_v2         119        0     10         0       0        0   
locky               0        0      0         0       0        0   
matsnu              0        0      0         0       0        0   
murofet_v1          0        0      0         0       0        0   
murofet_v2          0        0      0         0       0        0   
murofet_v3          0        0      0         0       0        0   
necurs              8        0      2         0       0        0   
nymaim              0        0      0         0       0        0   
padcrypt            0        0      2         0       0        0   
pizd                0        0      0         0       0        0   
proslikefan        49        0      0         0       0        0   
pushdo             47        0      2         0       0        0   
pykspa             52        0      0         0       0        0   
pykspa_noise       43        0      1         0       0        0   
qadars              0        0      6         2       3        0   
qakbot             27        0     29         0       0        0   
ramdo               0        0      0         0       0        0   
ramnit            200        0    198         0       0        0   
ranbyus_v1          0        0     41         0       0        0   
ranbyus_v2          0        0     48         0       0        0   
rovnix              0        0      0         0       0        0   
shiotob            15        0     26         1      81        0   
simda              63        0      0         0       0        0   
sisron              0        0      0         0       0        0   
suppobox_1          0        0      0         0       0        0   
suppobox_2          0        0      0         0       0        0   
suppobox_3          0        0      0         0       0        0   
symmi               0        0      0         0       0        0   
tempedreve        149        0      0         0       0        0   
tinba              54        0     22         0       0        0   
vawtrak_v1          0        0      0         0       0        0   
vawtrak_v2         14        0      0         0       0        0   
vawtrak_v3          0        0      0         0       0        0   
zeus-newgoz         0        0      0         0       1        1   
legit               7        0      0         1       0        0   

              cryptolocker  dircrypt  dyre  fobber_v1  fobber_v2  gozi_gpl  \
alureon                  0         2     0          0        292         0   
banjori                  0         0     0          0          0         0   
bedep                    0        72     0          0          2         0   
ccleaner                 0         0     0          0          0         0   
chinad                   0         0     0          4          0         0   
corebot                  0         0     0          4          0         0   
cryptolocker            89        25     0         84          1         3   
dircrypt                 0        73     0          0         97         0   
dyre                     0         0   966          0          0         0   
fobber_v1                0         0     0        958          0         0   
fobber_v2                0         3     0          0        296         0   
gozi_gpl                 0         0     0          0          0       936   
gozi_luther              0         1     0          0          0         0   
gozi_nasa                0         0     0          0          0         0   
gozi_rfc4343             0         0     0          0          0         0   
kraken_v1                5         0     0          0          0         0   
kraken_v2                6         8     0          0         68         0   
locky                   25         0     0          0          0         0   
matsnu                   0         0     0          0          0         0   
murofet_v1               0         0     0          0          0         2   
murofet_v2               3         0     0          0          0         0   
murofet_v3               0         0     0          0          0         0   
