,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,543,0,0,0,0,0,0,4,0,0,339,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,18,0,0,0,0,2,0,0,0,0,0,0,1,0,2,9,0,0
banjori,0,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,2,0,548,0,0,0,0,293,0,0,2,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,58,0,3,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0
ccleaner,0,0,0,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,2,1,860,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,4,10,1,0,1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0
corebot,0,0,0,0,0,924,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
cryptolocker,0,0,18,0,0,0,275,75,0,37,0,3,1,0,0,1,12,166,0,0,109,0,7,0,1,1,0,3,7,0,0,26,3,31,54,4,0,2,1,0,0,0,0,0,15,80,0,0,0,0,0
dircrypt,148,0,166,0,0,0,0,360,0,0,90,0,4,4,1,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,13,0,103,0,3,0,0,3,0,0,0,0,0,0,15,0,1,9,0,1
dyre,0,0,0,0,0,0,0,0,932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,0,0,0,922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
