,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,392,0,0,0,0,0,0,0,0,0,406,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,32,0,0,5,9,0,3
banjori,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,1,0,593,0,0,0,31,114,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,51,3,2,0,2,0,0,0,0,0,0,0,59,0,0,0,0,0
ccleaner,0,0,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,3,0,830,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
corebot,0,0,0,0,0,859,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
cryptolocker,0,0,39,0,0,0,492,8,0,22,0,4,1,0,0,2,1,48,0,0,59,0,0,1,1,0,0,3,2,10,0,6,0,16,36,3,0,0,0,0,0,0,0,0,4,107,0,0,0,0,0
dircrypt,104,0,213,0,0,0,20,170,0,0,84,0,7,0,1,0,13,0,0,0,0,0,0,0,0,0,9,8,6,1,0,54,0,65,2,7,0,0,0,0,0,0,0,0,10,84,0,2,3,0,2
dyre,0,0,0,0,0,0,0,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,1,0,0,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
fobber_v2,374,0,0,0,0,0,0,1,0,0,427,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,34,2,0,4,5,0,1
gozi_gpl,0,0,0,0,0,0,1,0,0,0,0,842,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gozi_luther,0,0,0,0,0,0,0,0,0,0,0,0,810,17,26,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
gozi_nasa,0,0,0,0,0,0,0,0,0,0,0,0,46,640,150,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,12
gozi_rfc4343,0,0,2,0,0,0,0,2,0,0,0,0,51,62,728,0,0,0,4,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,5
