,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,627,0,1,0,0,0,0,11,0,0,197,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,55,0,0,0,0,1,0,0,0,0,0,0,0,0,30,10,0,2
banjori,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,2,0,688,0,0,0,1,29,0,0,1,0,3,1,2,0,3,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,212,1,11,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0
ccleaner,0,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,4,1,896,3,5,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,3,1,0,0,1,9,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
corebot,0,0,0,0,0,954,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
cryptolocker,0,0,41,0,0,0,300,6,0,53,0,4,0,0,0,5,3,41,0,0,126,0,14,2,4,0,0,9,9,3,0,1,11,85,94,125,0,0,2,0,2,0,0,0,14,11,0,0,1,0,0
dircrypt,147,0,345,0,0,0,1,51,0,0,63,0,6,0,1,0,3,0,0,0,0,0,0,0,5,0,0,18,0,0,0,0,0,267,0,35,0,0,0,0,0,0,0,0,0,1,0,10,7,0,6
dyre,0,0,0,0,0,0,0,0,965,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,0,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,40,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
fobber_v2,625,0,0,0,0,0,0,16,0,0,207,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,27,10,0,6
gozi_gpl,0,0,0,0,0,0,0,0,0,0,0,895,0,0,0,0,0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gozi_luther,0,0,1,0,0,0,0,0,0,0,0,0,780,98,54,0,0,0,13,0,0,0,0,1,2,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
gozi_nasa,0,0,0,0,0,0,0,0,0,0,0,0,28,772,123,0,0,0,25,0,0,0,0,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9
gozi_rfc4343,0,0,2,0,0,0,0,0,0,0,0,0,63,325,518,0,0,0,27,0,0,0,0,3,4,0,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,15
kraken_v1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,736,210,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,3
