,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,598,0,0,0,0,0,0,2,0,0,292,0,0,0,0,2,20,0,0,0,0,0,0,0,1,0,0,7,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,23,11,0,3
banjori,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,10,0,598,0,0,0,0,72,0,0,2,0,5,0,1,0,6,0,0,0,0,0,0,0,3,0,0,6,0,0,0,9,1,106,2,126,0,11,0,0,0,0,0,0,0,6,0,2,0,0,0
ccleaner,0,0,0,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,4,1,867,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,24,11,1,0,0,11,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
corebot,0,0,0,0,0,946,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0
cryptolocker,5,0,41,0,0,0,89,25,0,84,1,3,1,0,0,13,4,53,0,0,118,0,19,1,5,0,0,4,21,5,0,113,11,37,133,149,0,4,1,0,1,0,0,0,11,13,0,1,0,0,0
dircrypt,173,0,217,0,0,0,0,73,0,0,97,0,11,0,0,2,10,0,0,0,0,0,0,0,1,0,0,6,0,0,0,67,1,114,1,167,0,0,2,0,0,0,0,0,0,2,0,13,6,0,3
dyre,0,0,0,0,0,0,0,0,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,0,0,0,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
fobber_v2,591,0,0,0,0,0,0,3,0,0,296,0,0,0,0,1,17,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,24,11,0,3
gozi_gpl,0,0,0,0,0,0,0,0,0,0,0,936,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gozi_luther,0,0,0,0,0,0,0,1,0,0,0,0,828,24,94,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,5,0,1
gozi_nasa,0,0,0,0,0,0,0,0,0,0,0,0,103,525,303,0,0,0,9,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,2,3,0,10
gozi_rfc4343,0,0,1,0,0,0,0,0,0,0,0,0,163,119,627,2,0,0,15,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,6,2,0,0,0,0,0,0,0,0,1,0,5,4,0,16
kraken_v1,0,0,3,0,0,0,5,0,0,0,0,0,1,0,0,614,272,1,0,0,0,0,0,1,1,0,14,2,2,0,0,10,6,9,11,5,0,0,0,0,0,0,0,0,2,1,0,2,4,0,0
kraken_v2,119,0,10,0,0,0,6,8,0,0,68,0,1,0,0,195,267,41,0,0,0,0,24,1,1,0,107,3,5,0,0,13,10,34,16,4,0,0,4,0,0,0,0,0,2,13,0,6,5,0,3
locky,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,7,7,162,0,2,61,0,63,2,1,0,150,16,31,2,0,68,6,0,123,200,0,0,10,0,0,0,0,0,17,13,0,0,0,0,0
