,alureon,banjori,bedep,ccleaner,chinad,corebot,cryptolocker,dircrypt,dyre,fobber_v1,fobber_v2,gozi_gpl,gozi_luther,gozi_nasa,gozi_rfc4343,kraken_v1,kraken_v2,locky,matsnu,murofet_v1,murofet_v2,murofet_v3,necurs,nymaim,padcrypt,pizd,proslikefan,pushdo,pykspa,pykspa_noise,qadars,qakbot,ramdo,ramnit,ranbyus_v1,ranbyus_v2,rovnix,shiotob,simda,sisron,suppobox_1,suppobox_2,suppobox_3,symmi,tempedreve,tinba,vawtrak_v1,vawtrak_v2,vawtrak_v3,zeus-newgoz,legit
alureon,299,0,2,0,0,0,0,16,0,0,588,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50,13,0,0
banjori,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bedep,67,0,661,0,3,0,0,74,0,5,50,0,3,0,1,10,1,0,0,0,4,0,13,0,6,0,0,3,0,0,0,0,0,45,0,3,0,27,0,2,0,0,0,0,0,0,0,5,0,0,0
ccleaner,0,0,0,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chinad,0,0,6,1,680,1,0,0,0,27,0,0,0,0,0,0,0,2,0,0,20,0,13,0,2,0,0,0,0,0,190,0,5,0,4,6,0,23,0,0,0,0,0,0,0,0,0,1,0,2,0
corebot,0,0,0,0,0,957,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
cryptolocker,26,0,73,0,1,0,52,21,0,108,12,1,0,0,0,24,3,64,0,0,167,0,63,0,8,2,2,12,1,8,0,0,40,11,165,11,0,0,7,2,0,1,0,0,92,1,0,5,0,0,0
dircrypt,110,0,424,0,0,0,0,60,0,10,219,0,5,0,0,12,0,0,0,2,3,0,19,0,5,0,0,6,0,0,0,1,2,61,1,6,0,1,0,0,0,0,0,0,0,0,0,28,8,0,0
dyre,0,0,0,0,0,0,0,0,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fobber_v1,0,0,0,0,0,0,0,0,0,965,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,5,1,1,0,0,0,0,0,0
fobber_v2,275,0,1,0,0,0,0,14,0,0,605,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,58,13,0,0
gozi_gpl,0,0,0,0,0,0,1,0,0,0,0,880,0,0,2,1,0,0,0,4,0,0,0,53,0,0,2,1,0,0,0,0,3,0,1,0,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0
gozi_luther,1,0,2,0,0,0,0,0,0,0,0,0,648,34,235,0,0,0,22,1,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0
gozi_nasa,1,0,6,0,0,0,0,0,0,0,1,0,62,436,316,0,0,0,100,1,0,0,0,3,0,0,0,1,0,0,0,1,0,2,0,0,10,0,1,0,0,0,0,0,0,0,0,36,6,0,0
gozi_rfc4343,0,0,7,0,0,0,0,0,0,0,3,2,62,96,673,2,0,0,71,0,0,0,0,4,6,0,0,1,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,31,7,0,2
kraken_v1,18,0,30,0,0,0,0,11,0,0,112,0,1,0,0,735,8,2,0,0,1,0,2,2,0,0,4,2,0,0,0,0,4,4,2,0,0,0,0,2,0,0,0,0,20,0,0,15,8,0,0
kraken_v2,72,0,62,0,0,0,1,27,0,0,239,0,0,0,0,249,44,50,0,0,3,0,6,3,6,0,118,5,1,0,0,0,6,2,5,0,0,0,1,1,0,0,0,0,32,1,2,28,9,0,10
locky,1,0,0,0,0,0,7,1,0,6,0,2,1,0,0,21,14,156,0,0,136,0,188,4,9,0,172,23,5,1,0,1,17,1,91,11,0,0,31,3,0,0,0,0,72,0,3,0,0,0,6
matsnu,0,0,0,0,0,0,0,0,0,0,0,0,3,9,11,0,0,0,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0
murofet_v1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,942,2,0,29,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,978,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
murofet_v3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
necurs,4,0,14,0,0,0,14,1,0,37,17,2,0,0,0,9,15,153,0,20,52,0,246,1,6,0,178,19,1,0,0,0,17,1,73,19,1,0,8,0,1,1,0,0,47,0,11,1,0,0,14
nymaim,0,0,0,0,0,0,1,0,0,0,0,28,1,6,6,1,0,1,28,0,1,0,0,774,0,23,2,8,0,1,0,0,1,0,0,0,11,0,2,0,18,11,8,0,0,0,5,10,2,0,34
padcrypt,0,0,8,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,1,1,945,2,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0
pizd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,210,8,0,0,0,0,0,0,0,0
proslikefan,18,0,0,0,0,0,1,0,0,1,60,0,0,0,0,14,3,27,0,0,71,0,1,1,1,0,442,6,16,3,2,0,4,0,3,0,0,0,79,1,0,27,0,0,142,0,7,19,7,0,27
pushdo,24,0,21,0,0,0,1,9,0,0,59,1,3,0,2,0,0,13,2,0,1,0,0,8,1,0,21,626,0,2,0,0,1,7,3,0,0,0,19,0,0,0,0,0,7,0,0,116,27,0,9
pykspa,20,0,1,0,0,0,8,8,0,56,58,0,0,0,0,13,1,10,0,0,3,0,0,0,2,2,94,6,34,15,1,0,26,0,18,0,0,1,169,2,0,62,0,0,328,0,1,31,5,0,8
pykspa_noise,22,0,1,0,0,0,2,11,0,58,61,0,0,0,0,10,3,14,0,0,0,0,2,0,0,0,92,4,30,19,1,0,29,0,11,0,0,0,162,3,0,78,0,0,328,0,0,33,6,0,3
qadars,4,0,2,4,9,0,1,4,0,10,11,0,1,0,0,7,0,3,0,0,0,0,1,0,0,3,0,1,0,0,822,0,22,0,2,0,0,34,0,0,0,1,1,0,17,0,22,1,0,0,0
qakbot,13,0,59,0,0,0,7,3,0,166,28,1,1,0,0,33,5,10,0,171,125,0,98,2,7,0,23,3,4,4,1,3,32,13,19,10,0,2,15,1,0,4,0,1,116,0,0,0,2,0,1
ramdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramnit,121,0,363,0,0,0,1,69,0,1,265,0,3,0,1,8,0,0,0,0,2,0,20,0,7,0,0,6,0,0,0,0,1,52,0,2,0,1,0,0,0,0,0,0,0,0,0,50,10,0,0
ranbyus_v1,3,0,75,0,0,0,30,10,0,68,3,2,0,0,0,24,1,175,0,0,13,0,183,6,5,1,2,21,0,1,3,0,28,11,276,1,0,0,1,2,1,2,0,0,33,1,1,0,0,0,0
ranbyus_v2,0,0,104,0,1,0,10,1,0,157,0,4,1,1,1,7,0,22,0,0,68,0,422,4,12,0,0,1,0,0,0,0,24,16,39,83,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0
rovnix,0,0,0,0,0,0,0,0,0,0,0,66,12,11,75,0,0,0,3,0,0,0,0,17,0,6,0,0,0,0,0,0,0,0,0,0,708,0,0,0,7,0,77,0,0,0,0,0,0,1,0
shiotob,23,0,40,2,115,0,0,7,0,68,45,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,1,2,0,1,415,0,0,1,1,0,0,208,0,0,0,7,1,0,30,0,0,5,1,0,1
simda,15,0,0,0,0,0,0,0,0,0,105,0,0,0,0,4,1,8,0,0,0,0,1,12,0,0,113,30,6,2,0,0,0,0,1,0,0,0,526,0,0,1,0,0,16,0,0,47,11,0,84
sisron,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971,0,0,0,0,1,0,0,0,0,0,0
