
Test Phase Duration: 0:03:48 (HH:MM:SS)

Class report: 
              precision    recall  f1-score   support

     alureon     0.2875    0.5826    0.3850       932
     banjori     1.0000    1.0000    1.0000       932
       bedep     0.5464    0.5880    0.5664       932
    ccleaner     0.9800    0.9989    0.9894       932
      chinad     0.9178    0.9227    0.9203       932
     corebot     0.9989    0.9914    0.9952       932
cryptolocker     0.4902    0.2951    0.3684       932
    dircrypt     0.2526    0.3863    0.3055       932
        dyre     1.0000    1.0000    1.0000       932
   fobber_v1     0.7703    0.9893    0.8661       932
   fobber_v2     0.2795    0.3455    0.3090       932
    gozi_gpl     0.9453    0.9635    0.9543       932
 gozi_luther     0.9677    0.6427    0.7724       932
   gozi_nasa     0.6267    0.8755    0.7305       932
gozi_rfc4343     0.6909    0.7457    0.7172       932
   kraken_v1     0.8631    0.5955    0.7048       932
   kraken_v2     0.4818    0.5676    0.5212       932
       locky     0.3024    0.3326    0.3168       932
      matsnu     0.9628    0.9163    0.9390       932
  murofet_v1     0.9819    0.9903    0.9861       932
  murofet_v2     0.7908    0.9936    0.8806       932
  murofet_v3     1.0000    0.9957    0.9978       932
      necurs     0.5112    0.2704    0.3537       932
      nymaim     0.9102    0.8702    0.8897       932
    padcrypt     0.9871    0.9850    0.9860       932
        pizd     0.7045    0.7189    0.7116       932
 proslikefan     0.4898    0.5687    0.5263       932
      pushdo     0.9181    0.8895    0.9035       932
      pykspa     0.2918    0.3895    0.3336       932
pykspa_noise     0.3068    0.0579    0.0975       932
      qadars     0.9061    0.8079    0.8542       932
      qakbot     0.6743    0.4088    0.5090       932
       ramdo     0.9616    0.9936    0.9773       932
      ramnit     0.2175    0.1309    0.1634       932
  ranbyus_v1     0.6203    0.6749    0.6465       932
  ranbyus_v2     0.7210    0.6459    0.6814       932
      rovnix     0.9638    0.8863    0.9234       932
     shiotob     0.7398    0.7414    0.7406       932
       simda     0.8248    0.8788    0.8509       932
      sisron     0.9989    0.9710    0.9848       932
  suppobox_1     0.7186    0.7865    0.7510       932
  suppobox_2     0.9432    0.9270    0.9351       932
  suppobox_3     0.9978    0.9882    0.9930       932
       symmi     0.9957    0.9957    0.9957       932
  tempedreve     0.4381    0.3948    0.4153       932
       tinba     0.4560    0.3283    0.3818       932
  vawtrak_v1     0.9925    1.0000    0.9963       932
  vawtrak_v2     0.9314    0.6996    0.7990       932
  vawtrak_v3     0.7186    0.9206    0.8071       932
 zeus-newgoz     1.0000    0.9925    0.9962       932
       legit     0.7600    0.7103    0.7343       932

    accuracy                         0.7324     47532
   macro avg     0.7419    0.7324    0.7287     47532
weighted avg     0.7419    0.7324    0.7287     47532

F1 Score, Precision and Recall: 
              Macro     Micro
F1 Score   0.728716  0.732391
Precision  0.741888  0.732391
Recall     0.732391  0.732391

Overall accuracy = 0.7323908104014137

Confusion matrix:
              alureon  banjori  bedep  ccleaner  chinad  corebot  \
alureon           543        0      0         0       0        0   
banjori             0      932      0         0       0        0   
bedep               2        0    548         0       0        0   
ccleaner            0        0      0       931       0        0   
chinad              0        0      2         1     860        0   
corebot             0        0      0         0       0      924   
cryptolocker        0        0     18         0       0        0   
dircrypt          148        0    166         0       0        0   
dyre                0        0      0         0       0        0   
fobber_v1           0        0      0         0       0        0   
fobber_v2         550        0      0         0       0        0   
gozi_gpl            0        0      0         0       0        0   
gozi_luther         0        0      0         0       0        0   
gozi_nasa           0        0      0         0       0        0   
gozi_rfc4343        0        0      0         0       0        0   
kraken_v1           0        0      0         0       0        0   
kraken_v2         115        0      0         0       0        0   
locky               0        0      0         0       0        0   
matsnu              0        0      0         0       0        0   
murofet_v1          0        0      0         0       0        0   
murofet_v2          0        0      0         0       0        0   
murofet_v3          0        0      0         0       0        0   
necurs              5        0      1         0       0        0   
nymaim              0        0      0         0       0        0   
padcrypt            0        0      1         0       0        0   
pizd                0        0      0         0       0        0   
proslikefan        55        0      0         0       0        0   
pushdo             14        0      0         0       0        0   
pykspa             41        0      0         0       0        0   
pykspa_noise       41        0      1         0       0        0   
qadars              0        0      3         1       0        0   
qakbot             18        0     23         0       0        0   
ramdo               0        0      0         0       0        0   
ramnit            154        0    137         0       0        0   
ranbyus_v1          0        0     19         0       0        0   
ranbyus_v2          0        0     53         0       0        0   
rovnix              0        0      0         0       0        0   
shiotob            20        0     29         1      77        0   
simda               8        0      0         0       0        0   
sisron              1        0      0         0       0        0   
suppobox_1          0        0      0         0       0        0   
suppobox_2          0        0      0         0       0        0   
suppobox_3          0        0      0         0       0        0   
symmi               0        0      0         0       0        0   
tempedreve        153        0      0         0       0        0   
tinba               6        0      2         0       0        0   
vawtrak_v1          0        0      0         0       0        0   
vawtrak_v2          6        0      0         0       0        0   
vawtrak_v3          2        0      0         0       0        0   
zeus-newgoz         0        0      0         0       0        1   
legit               7        0      0        16       0        0   

              cryptolocker  dircrypt  dyre  fobber_v1  fobber_v2  gozi_gpl  \
alureon                  0         4     0          0        339         0   
banjori                  0         0     0          0          0         0   
bedep                    0       293     0          0          2         0   
ccleaner                 0         0     0          0          0         0   
chinad                   2         2     0          0          0         0   
corebot                  0         0     0          5          0         0   
cryptolocker           275        75     0         37          0         3   
dircrypt                 0       360     0          0         90         0   
dyre                     0         0   932          0          0         0   
fobber_v1                0         0     0        922          0         0   
fobber_v2                0         6     0          0        322         0   
gozi_gpl                 6         0     0          0          0       898   
gozi_luther              0         2     0          0          0         0   
gozi_nasa                0         0     0          0          0         0   
gozi_rfc4343             0         3     0          0          0         0   
kraken_v1                2         0     0          0          0         0   
kraken_v2                4        22     0          0         56         0   
locky                   46         0     0          0          0         0   
matsnu                   0         0     0          0          0         0   
murofet_v1               0         0     0          0          0         0   
murofet_v2               1         0     0          0          0         0   
murofet_v3               0         0     0          0          0         0   
