
Test Phase Average Duration: 0:03:49 (HH:MM:SS)

Class report: 
              precision    recall  f1-score       support
alureon        0.291767  0.432618  0.327123    932.000000
banjori        1.000000  1.000000  1.000000    932.000000
bedep          0.544353  0.620386  0.572905    932.000000
ccleaner       0.993009  0.997854  0.995408    932.000000
chinad         0.951634  0.884120  0.914365    932.000000
corebot        0.999135  0.991845  0.995477    932.000000
cryptolocker   0.459815  0.302361  0.357160    932.000000
dircrypt       0.279022  0.261159  0.259477    932.000000
dyre           0.999571  1.000000  0.999786    932.000000
fobber_v1      0.799485  0.879185  0.831858    932.000000
fobber_v2      0.272555  0.364163  0.303954    932.000000
gozi_gpl       0.943672  0.954721  0.949066    932.000000
gozi_luther    0.887855  0.788841  0.828965    932.000000
gozi_nasa      0.689048  0.807940  0.738781    932.000000
gozi_rfc4343   0.712029  0.708369  0.707704    932.000000
kraken_v1      0.751708  0.700858  0.714803    932.000000
kraken_v2      0.455780  0.402361  0.416059    932.000000
locky          0.381936  0.310300  0.336656    932.000000
matsnu         0.943204  0.938627  0.940356    932.000000
murofet_v1     0.981682  0.986052  0.983821    932.000000
murofet_v2     0.831942  0.944635  0.883448    932.000000
murofet_v3     1.000000  0.993348  0.996661    932.000000
necurs         0.489413  0.269313  0.335552    932.000000
nymaim         0.912494  0.859013  0.884459    932.000000
padcrypt       0.982892  0.983262  0.982969    932.000000
pizd           0.722614  0.791416  0.753026    932.000000
proslikefan    0.478569  0.551073  0.511104    932.000000
pushdo         0.853497  0.918884  0.884182    932.000000
pykspa         0.262273  0.281974  0.267340    932.000000
pykspa_noise   0.296110  0.181974  0.216167    932.000000
qadars         0.911442  0.831974  0.868981    932.000000
qakbot         0.632121  0.393348  0.478343    932.000000
ramdo          0.963840  0.986481  0.974835    932.000000
ramnit         0.243509  0.226824  0.231286    932.000000
ranbyus_v1     0.525894  0.700215  0.591821    932.000000
ranbyus_v2     0.623199  0.557296  0.572914    932.000000
rovnix         0.942794  0.877468  0.908779    932.000000
shiotob        0.768377  0.755794  0.759450    932.000000
simda          0.805694  0.830043  0.811390    932.000000
sisron         0.997427  0.993777  0.995560    932.000000
suppobox_1     0.800931  0.756438  0.773542    932.000000
suppobox_2     0.900144  0.939485  0.918728    932.000000
suppobox_3     0.988552  0.990773  0.989619    932.000000
symmi          0.993177  0.998927  0.996042    932.000000
tempedreve     0.390890  0.448712  0.412949    932.000000
tinba          0.434278  0.326609  0.352640    932.000000
vawtrak_v1     0.990230  0.998712  0.994446    932.000000
vawtrak_v2     0.829112  0.827682  0.822797    932.000000
vawtrak_v3     0.752820  0.881974  0.809479    932.000000
zeus-newgoz    1.000000  0.992275  0.996121    932.000000
legit          0.750027  0.683906  0.713011    932.000000
accuracy       0.727556  0.727556  0.727556      0.727556
macro avg      0.733559  0.727556  0.722772  47532.000000
weighted avg   0.733559  0.727556  0.722772  47532.000000
Confusion Matrix: 
              alureon  banjori  bedep  ccleaner  chinad  corebot  \
alureon          2016        0      5         0       0        0   
banjori             0     4660      0         0       0        0   
bedep              14        0   2891         0       0        0   
ccleaner            0        0      0      4650       0        0   
chinad              0        0     21         3    4120        0   
corebot             0        0      0         0       0     4622   
cryptolocker        6        0    158         0       0        0   
dircrypt          511        0    874         0       1        0   
dyre                0        0      0         0       0        0   
fobber_v1           0        0      0         0       0        0   
fobber_v2        2035        0      6         0       0        0   
gozi_gpl            0        0      0         0       0        0   
gozi_luther         0        0      1         0       0        0   
gozi_nasa           0        0      0         0       0        0   
gozi_rfc4343        1        0      3         0       0        0   
kraken_v1           0        0      1         0       0        0   
kraken_v2         358        0     32         0       0        0   
locky               0        0      0         0       0        0   
matsnu              0        0      0         0       0        0   
murofet_v1          0        0      0         0       0        0   
murofet_v2          0        0      0         0       0        0   
murofet_v3          0        0      0         0       0        0   
necurs             14        0     10         0       1        0   
nymaim              0        0      0         0       0        0   
padcrypt            0        0      7         0       0        0   
pizd                0        0      0         0       0        0   
proslikefan       160        0      1         0       0        0   
pushdo             25        0      4         0       0        0   
pykspa            118        0      3         0       0        0   
pykspa_noise      122        0      8         0       0        0   
qadars              0        0     24         7       0        0   
qakbot             69        0    106         0       1        0   
ramdo               0        0      0         0       0        0   
ramnit            577        0    649         0       0        0   
ranbyus_v1          0        0    147         0       0        0   
ranbyus_v2          0        0    171         0       0        0   
rovnix              0        0      0         0       1        0   
shiotob            53        0    174         1     218        0   
simda              64        0      0         0       0        0   
sisron              1        0      0         0       0        0   
suppobox_1          0        0      0         0       0        0   
suppobox_2          0        0      0         0       0        0   
suppobox_3          0        0      0         0       0        0   
symmi               0        0      0         0       0        0   
tempedreve        550        0      0         0       0        0   
tinba              53        0    172         0       0        0   
vawtrak_v1          0        0      0         0       0        0   
vawtrak_v2          9        0      0         0       0        0   
vawtrak_v3          3        0      0         0       0        0   
zeus-newgoz         0        0      1         0       5        4   
legit              16        0      4        22       0        0   

              cryptolocker  dircrypt  dyre  fobber_v1  fobber_v2  gozi_gpl  \
alureon                  0       222     0          0       1706         0   
banjori                  0         0     0          0          0         0   
bedep                   12       821     0          0         18         0   
ccleaner                 0         0     0          0          0         0   
chinad                   7         2     0          9          0         0   
corebot                  0         0     0         10          0         0   
cryptolocker          1409       151     0        115          4        13   
dircrypt                15      1217     0          0        538         0   
dyre                     0         0  4660          0          0         0   
fobber_v1               18         0     0       4097          0         0   
fobber_v2                0       238     0          0       1697         0   
gozi_gpl                 9         0     0          0          0      4449   
gozi_luther              0         7     0          0          0         0   
gozi_nasa                2         0     0          0          0         0   
gozi_rfc4343             0         7     0          0          0         0   
kraken_v1               13         0     0          0          0         0   
kraken_v2               19        90     0          0        403         0   
locky                  305         0     0          0          0         3   
matsnu                   0         0     0          0          0         0   
murofet_v1               2         0     0          0          0         7   
murofet_v2             161         0     0          0          0         0   
murofet_v3               0         0     0          0          0         0   
necurs                  73        24     0         54          9         1   
nymaim                   6         0     0          1          1        30   
padcrypt                 3         2     0          2          0         0   
pizd                     0         0     0          0          0         0   
proslikefan             10         3     0          0        173         0   
pushdo                   0        24     0          0         44         0   
pykspa                 138        14     0          0        145         0   
pykspa_noise            98        23     0          0        141         0   
qadars                   7         4     0          0          3         0   
qakbot                 301       201     0        283         54         0   
ramdo                    3         0     0          0          0         0   
ramnit                  16       903     0          0        680         0   
ranbyus_v1             292       104     0         68          0         3   
ranbyus_v2              26       151     0        482          0         1   
rovnix                   0         0     0          0          0       203   
shiotob                 12        33     0         23         39         0   
simda                    0         1     0          0         74         0   
sisron                   0         9     0          0          1         0   
suppobox_1               0         0     0          1          0         0   
suppobox_2               0         0     0          0          0         0   
suppobox_3               0         0     0          7          0         0   
symmi                    0         0     0          3          0         0   
tempedreve               1        73     0          0        362         0   
tinba                  243       321     0          0         55         0   
vawtrak_v1               0         0     0          0          0         0   
vawtrak_v2               0         4     0          0          6         0   
vawtrak_v3               0         2     0          0          0         0   
zeus-newgoz              0         0     2          0          0         0   
legit                    1         5     0          2         25         5   

              gozi_luther  gozi_nasa  gozi_rfc4343  kraken_v1  kraken_v2  \
alureon                 0          0             1          0         98   
banjori                 0          0             0          0          0   
bedep                   3          3             3          8         22   
ccleaner                0          0             0          0          0   
chinad                  0          0             0          1          1   
corebot                 0          0             0          0          1   
cryptolocker            3          0             0         14         44   
dircrypt               22         10             6          6         57   
dyre                    0          0             0          0          0   
fobber_v1               0          0             0          1          2   
fobber_v2               0          0             0          0         83   
gozi_gpl                0          0             0          0          0   
gozi_luther          3676        433           416          0          0   
gozi_nasa             187       3765           570          0          0   
gozi_rfc4343          235        948          3301          1          2   
kraken_v1               1          1             2       3266       1329   
kraken_v2               0          0             0       1067       1875   
locky                   0          0             0          9         25   
matsnu                  9         98            56          0          0   
murofet_v1              0          0             0          0          0   
murofet_v2              0          0             0          0          0   
murofet_v3              0          0             0          0          0   
necurs                  0          0             1          0         48   
nymaim                  3         33            43          0          1   
padcrypt                5          1             7          0          0   
pizd                    0          0             0          0          0   
proslikefan             0          0             0          4         41   
pushdo                  5         10             6          0         20   
pykspa                  3          1             0         11         70   
pykspa_noise            0          0             0         13         55   
qadars                  0          1             0          6          6   
qakbot                  1          0             1          6         49   
ramdo                   0          0             0          0          7   
ramnit                 17          7             7          5         75   
ranbyus_v1              0          0             0          9         44   
ranbyus_v2              2          3             4          1          2   
rovnix                  9        161           167          0          0   
shiotob                 0          0             0          0          5   
simda                   0          0             0          0          7   
sisron                  0          0             0          0          2   
suppobox_1              0          0             0          0          0   
suppobox_2              0          0             0          0          0   
suppobox_3              0          0             0          0          0   
symmi                   0          0             0          0          0   
tempedreve              0          0             0          2         43   
tinba                   0          3             0         12         62   
vawtrak_v1              0          0             0          0          0   
vawtrak_v2              1          1             2          0          1   
vawtrak_v3              2          0             1          0          0   
zeus-newgoz             0          0             0          0          0   
legit                   6         56            56          4         14   

              locky  matsnu  murofet_v1  murofet_v2  murofet_v3  necurs  \
alureon           0       1           0           0           0       0   
banjori           0       0           0           0           0       0   
bedep             0       1           0           0           0       1   
ccleaner          0       0           0           0           0       0   
chinad            7       0           0           8           0      12   
corebot           0       0           0           0           0       0   
cryptolocker    456       0           1         391           0     122   
dircrypt          0       0           0           0           0       3   
dyre              0       0           0           0           0       0   
fobber_v1         1       0           0           0           0       7   
fobber_v2         0       0           0           0           0       0   
gozi_gpl         14       0           3           0           0       0   
gozi_luther       0      24           0           0           0       0   
gozi_nasa         0      28           0           0           0       0   
gozi_rfc4343      1      30           0           0           0       1   
kraken_v1         6       0           0           0           0       0   
kraken_v2        52       0           0           0           0     145   
locky          1446       0           4         162           0     412   
matsnu            0    4374           0           0           0       0   
murofet_v1        6       0        4595           0           0      33   
murofet_v2       50       0           0        4402           0       0   
murofet_v3        0       0          31           0        4629       0   
necurs          372       0          47          37           0    1255   
nymaim           20      92           0           0           0       5   
padcrypt          5       0           0           0           0       5   
pizd              0       0           0           0           0       0   
proslikefan     151       0           0           5           0      93   
pushdo           14       9           0           0           0       5   
pykspa           44       0           0           0           0       3   
pykspa_noise     64       0           0           0           0      11   
qadars            5       0           0           0           0       0   
qakbot          184       0           0         236           0      60   
ramdo             3       0           0           0           0       0   
ramnit            1       0           0           0           0       4   
ranbyus_v1      195       0           0           0           0      85   
ranbyus_v2      114       0           0           0           0     262   
rovnix            0       1           0           0           0       0   
shiotob           0       0           0           0           0       0   
simda            97       0           0           0           0      16   
sisron            1       0           0           0           0       0   
suppobox_1        0       0           0           0           0       0   
suppobox_2        0       0           0           0           0       0   
suppobox_3        0       0           0           0           0       0   
symmi             0       0           0           0           0       0   
tempedreve       58       0           0           0           0       3   
tinba           551       0           0          65           0     184   
